islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
22/07/2025,1801374784x220725210725uye_yþyery_ucrety_-_peþyn_(bsmv),-59.42,745999.83,102.01,ykb
22/07/2025,1801374784x220725210725uye_yþyery_ucrety_-_peþyn,-1188.17,746059.25,102.01,ykb
22/07/2025,1801374784x220725210725peþynsatiþ,62868.03,747247.42,102.01,ykb
22/07/2025,1801374784x220725110625peþynsatiþ,3689.15,684379.39,102.01,ykb
22/07/2025,1801374784x220725200625peþynsatiþkatkipayi,-8.48,680690.24,102.01,ykb
22/07/2025,1801374784x220725200625peþynsatiþ,1695.3,680698.72,102.01,ykb
22/07/2025,1801374784x220725250425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.19,679003.42,102.01,ykb
22/07/2025,1801374784x220725250425uye_yþyery_ucrety_-_taksyt,-3.83,679003.61,102.01,ykb
22/07/2025,1801374784x220725250425taksytsatiþ,333.06,679007.44,102.01,ykb
21/07/2025,int_455359******1405_2107_1142,-6546.5,678674.38,102.01,ykb
21/07/2025,1801374784x210725100625peþynsatiþ,19411.1,685220.88,102.01,ykb
21/07/2025,1801374784x210725200725uye_yþyery_ucrety_-_peþyn_(bsmv),-12.03,665809.78,102.01,ykb
21/07/2025,1801374784x210725200725uye_yþyery_ucrety_-_peþyn,-240.63,665821.81,102.01,ykb
21/07/2025,1801374784x210725200725peþynsatiþ,12732.25,666062.44,102.01,ykb
21/07/2025,1801374784x210725190625peþynsatiþkatkipayi,-37.64,653330.19,102.01,ykb
21/07/2025,1801374784x210725190625peþynsatiþ,7528.4,653367.83,102.01,ykb
20/07/2025,1801374784x200725190725uye_yþyery_ucrety_-_peþyn_(bsmv),-30.39,645839.43,102.01,ykb
20/07/2025,1801374784x200725190725uye_yþyery_ucrety_-_peþyn,-607.78,645869.82,102.01,ykb
20/07/2025,1801374784x200725190725peþynsatiþ,32159.8,646477.6,102.01,ykb
20/07/2025,1801374784x200725090625peþynsatiþ,13572.55,614317.8,102.01,ykb
20/07/2025,1801374784x200725180625peþynsatiþkatkipayi,-2.0,600745.25,102.01,ykb
20/07/2025,1801374784x200725180625peþynsatiþ,400.45,600747.25,102.01,ykb
19/07/2025,1801374784x190725180725uye_yþyery_ucrety_-_peþyn_(bsmv),-14.19,600346.8,102.01,ykb
19/07/2025,1801374784x190725180725uye_yþyery_ucrety_-_peþyn,-283.82,600360.99,102.01,ykb
19/07/2025,1801374784x190725180725peþynsatiþ,15018.25,600644.81,102.01,ykb
19/07/2025,1801374784x190725170625peþynsatiþkatkipayi,-22.48,585626.56,102.01,ykb
19/07/2025,1801374784x190725170625peþynsatiþ,4495.24,585649.04,102.01,ykb
19/07/2025,1801374784x190725210625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.38,581153.8,102.01,ykb
19/07/2025,1801374784x190725210625uye_yþyery_ucrety_-_taksyt,-7.56,581154.18,102.01,ykb
19/07/2025,1801374784x190725210625taksytlysatiþkatkipayi,-13.16,581161.74,102.01,ykb
19/07/2025,1801374784x190725210625taksytsatiþ,658.18,581174.9,102.01,ykb
18/07/2025,1801374784x180725170725uye_yþyery_ucrety_-_peþyn_(bsmv),-10.13,580516.72,102.01,ykb
18/07/2025,1801374784x180725170725uye_yþyery_ucrety_-_peþyn,-202.56,580526.85,102.01,ykb
18/07/2025,1801374784x180725170725peþynsatiþ,10719.3,580729.41,102.01,ykb
18/07/2025,1801374784x180725160625peþynsatiþkatkipayi,-3.93,570010.11,102.01,ykb
18/07/2025,1801374784x180725160625peþynsatiþ,785.4,570014.04,102.01,ykb
18/07/2025,1801374784x180725200625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.43,569228.64,102.01,ykb
18/07/2025,1801374784x180725200625uye_yþyery_ucrety_-_taksyt,-8.62,569229.07,102.01,ykb
18/07/2025,1801374784x180725200625taksytlysatiþkatkipayi,-15.0,569237.69,102.01,ykb
18/07/2025,1801374784x180725200625taksytsatiþ,749.75,569252.69,102.01,ykb
17/07/2025,1801374784x170725160725uye_yþyery_ucrety_-_peþyn_(bsmv),-24.49,568502.94,102.01,ykb
17/07/2025,1801374784x170725160725uye_yþyery_ucrety_-_peþyn,-489.68,568527.43,102.01,ykb
17/07/2025,1801374784x170725160725peþynsatiþ,25910.85,569017.11,102.01,ykb
17/07/2025,1801374784x170725190625uye_yþyery_ucrety_-_taksyt_(bsmv),-1.53,543106.26,102.01,ykb
17/07/2025,1801374784x170725190625uye_yþyery_ucrety_-_taksyt,-30.5,543107.79,102.01,ykb
17/07/2025,1801374784x170725190625taksytlysatiþkatkipayi,-69.55,543138.29,102.01,ykb
17/07/2025,1801374784x170725190625taksytsatiþ,2653.44,543207.84,102.01,ykb
17/07/2025,1801374784x170725150625peþynsatiþkatkipayi,-11.78,540554.4,102.01,ykb
17/07/2025,1801374784x170725150625peþynsatiþ,2353.4,540566.18,102.01,ykb
16/07/2025,bsmv_elektronyk_fon_transfery_(eft)_ucrety-fast/alanya_ozkan_ki/halkbank_hesa,-0.61,538212.78,102.01,ykb
16/07/2025,elektronyk_fon_transfery_(eft)_ucrety-fast/alanya_ozkan_ki/halkbank_hesa,-12.19,538213.39,102.01,ykb
16/07/2025,gyden_fast_-_alanya_ozkan_kirtasyye_mat.yay.ynþ.tyc.ltd.þty_-_halkbank_hesabina_vyrman,-95000.0,538225.58,102.01,ykb
16/07/2025,bsmv_elektronyk_fon_transfery_(eft)_ucrety-fast/alanya_ozkan_ki/halkbank_hesa,-0.61,633225.58,102.01,ykb
16/07/2025,elektronyk_fon_transfery_(eft)_ucrety-fast/alanya_ozkan_ki/halkbank_hesa,-12.19,633226.19,102.01,ykb
