islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
28.07.2025,kkiv/20250617/000000001120365/p_pos_satys_______________________/000001627312387,34465.48,486221.96,102.04,halkbank
28.07.2025,kkiv/20250617/000000001120365/p_pos_satys_______________________/000001627312373,37602.33,523824.29,102.04,halkbank
29.07.2025,kkiv/20250618/000000001120365/p_pos_satys_______________________/000001628232277,240.0,524064.29,102.04,halkbank
29.07.2025,kkiv/20250618/000000001120365/p_pos_satys_______________________/000001628232280,476.25,524540.54,102.04,halkbank
29.07.2025,kkiv/20250618/000000001120365/p_pos_satys_______________________/000001628232281,1754.0,526294.54,102.04,halkbank
29.07.2025,kkiv/20250618/000000001120365/p_pos_satys_______________________/000001628232279,7333.75,533628.29,102.04,halkbank
29.07.2025,kkiv/20250618/000000001120365/p_pos_satys_______________________/000001628232278,14249.85,547878.14,102.04,halkbank
30.07.2025,kkiv/20250619/000000001120365/p_pos_satys_______________________/000001629160912,818.06,548696.2,102.04,halkbank
30.07.2025,kkiv/20250619/000000001120365/p_pos_satys_______________________/000001629160923,1499.9,550196.1,102.04,halkbank
31.07.2025,kkiv/20250620/000000001120365/p_pos_satys_______________________/000001630093482,652.0,550848.1,102.04,halkbank
31.07.2025,kkiv/20250620/000000001120365/p_pos_satys_______________________/000001630093484,763.2,551611.3,102.04,halkbank
31.07.2025,kkiv/20250620/000000001120365/p_pos_satys_______________________/000001630093480,1121.5,552732.8,102.04,halkbank
31.07.2025,kkiv/20250620/000000001120365/p_pos_satys_______________________/000001630093481,3750.0,556482.8,102.04,halkbank
